vendor,description,amount,category
Veg Market,Pantry groceries,4322.79,groceries
Printer Service,IT accessories purchase - urgent,107153.06,office
Parking Fees,Highway tolls - urgent,8482.36,transport
Amazon,Hosting renewal,86374.3,office
Big Basket,Grocery purchase,8982.41,groceries
Printer Service,Procurement fee for office use,5498.33,other
Shell Petrol,Office travel,3290.53,transport
Roof Repair,Monthly office security,5274.9,maintenance
Spencers,Organic bulk order,3952.86,groceries
Car Wash,Shared ride to event - urgent,2632.88,transport
Audit Services,Desk chair replacement - urgent,29921.43,office
IT Consultancy,Stationery order for office use,19820.57,office
Website Hosting,IT accessories purchase,43096.16,office
Croma,Stationery order,10239.64,office
Team Outing Organizers,Streaming annual,3518.74,entertainment
Amazon,Projector bulb replacement,5313.29,office
Big Basket,Snacks for meeting,3032.41,groceries
Office Depot,Monitor purchase,20840.34,office
Dominos,Snacks and drinks,5154.72,meals
Printer Service,Consultant fee,14807.28,office
IT Consultancy,Desk chair replacement,11008.34,office
Big Bazaar,Pantry restock,1840.21,groceries
ClinicCare,Doctor consultation,8495.79,health
TravelAgent,Train ticket for business trip for office use,9891.08,travel
Local Grocer,Weekly groceries,1412.88,groceries
Saree Shop,Miscellaneous expense for office use,8899.9,other
Local Bakery,Client meal expense for office use,5367.77,meals
Hardware Store,Hardware components,47440.03,office
Internet Provider,Emergency water supply,13967.06,utilities
Big Basket,Monthly groceries,3601.13,groceries
More Retail,Pantry groceries,3340.29,groceries
Gym Monthly,Annual employee checkup,11808.64,health
Organic Store,Healthy snacks,1982.27,groceries
Veg Market,Pantry restock for office use,1802.01,groceries
TechCourses,IT accessories purchase for office use,11052.46,office
Reliance Fresh,Pantry restock,1628.07,groceries
IT Consultancy,Annual audit fee,163537.88,office
SpiceJet,Shared ride to event - urgent,5833.09,transport
Reliance Mart,Pantry groceries,4582.11,groceries
Hardware Store,Hardware components - urgent,33143.36,office
Shell Petrol,Parking pass,14846.64,transport
IT Consultancy,Stationery order,68333.95,office
PharmaPlus,Gym membership,2658.56,health
Local Bakery,Catering for seminar,5120.89,meals
IT Consultancy,Stationery order,18413.71,office
Parking Fees,Train ticket for business trip,19641.53,transport
Local Bakery,Team lunch,16270.54,meals
Dominos,Pizza lunch for staff,780.0,meals
Local Bakery,Team lunch,19789.52,meals
Swiggy,Team lunch,12972.7,meals
Office Bazaar,Consultant fee,7168.96,office
Car Wash,Fuel refill,9322.56,transport
Printer Service,Conference supplies for office use,55286.93,office
Vaccine Center,Dental cleaning,1146.89,health
TechCourses,Conference supplies - urgent,15288.75,office
Cafe Mocha,Sandwiches for meeting,2956.47,meals
Tea Stall,Team lunch for office use,4823.01,meals
ClinicCare,OTC medicines,17306.07,health
Fruit Stall,Healthy snacks - urgent,8351.81,groceries
CCD,Catering for seminar,3762.86,meals
Spencers,Weekly groceries,2840.29,groceries
Reliance Mart,Grocery purchase,3312.27,groceries
Payroll Fees,Hosting renewal,10291.92,office
Meru Cabs,Car rental for client visit,6622.73,transport
Local Deli,Meal order lunch,5496.5,meals
Local Bakery,Client meal expense,4666.87,meals
TaxiGo,Office commute for office use,6592.45,transport
Tea Stall,Pastries for team,4532.8,meals
Bakery & Co,Lunch meeting order,2378.74,meals
Blinkit,Fresh vegetables,2386.5,groceries
Kids Event,Cultural visit,2919.6,entertainment
Payroll Fees,Desk chair replacement,5797.11,office
Streaming Service,Cultural visit for office use,367.16,entertainment
